ticker,isin,mic,name
HAUTO.OL,NO0011082075,XOSL,HÖEGH AUTOLINERS
HAV.OL,NO0010931918,MERK,HAV GROUP
HAVI.OL,NO0010257728,XOSL,HAVILA SHIPPING
HBC.OL,NO0010598683,XOSL,HOFSETH BIOCARE
HDLY.OL,NO0013470534,MERK,HUDDLY
HELG.OL,NO0010029804,XOSL,SPBK1 HELGELAND
HERMA.OL,NO0013401380,XOSL,HERMANA HOLDING
HEX.OL,NO0003067902,XOSL,HEXAGON COMPOSITES
HGSB.OL,NO0010764053,XOSL,HAUGESUND SPB
HKY.OL,NO0013696799,MERK,HAVILA KYSTRUTEN
HPUR.OL,NO0013751966,XOSL,HEXAGON PURUS
HSHP.OL,BMG4660A1036,XOSL,HIMALAYA SHIPPING
HSPG.OL,NO0010012636,XOSL,HØLAND OG SETSKOG
HUDL.OL,NO0010859648,MERK,HUDDLESTOCK FINTEC
HUNT.OL,NO0012953720,XOAS,HUNTER GROUP
HYN.OL,NO0010920945,MERK,HYNION
HYPRO.OL,NO0010892359,XOSL,HYDROGENPRO
IDEX.OL,NO0013536078,XOSL,IDEX BIOMETRICS
INDCT.OL,NO0010536048,MERK,INDUCT
INIFY.OL,SE0017486103,MERK,INIFY LABORATORIES
ININ.OL,NO0010864036,MERK,ININ GROUP
INSTA.OL,NO0010762792,MERK,INSTABANK
IOX.OL,NO0013119255,XOSL,INTEROIL EXPL PROD
ISLAX.OL,NO0010724701,MERK,ICELANDIC SALMON
ITERA.OL,NO0010001118,XOSL,ITERA
IWS.OL,NO0013461350,XOSL,INTEGRATED WIND SO
JACK.OL,NO0012477704,MERK,JACKTEL
JAREN.OL,NO0010359433,XOSL,JÆREN SPAREBANK
JIN.OL,BMG5137R1088,XOSL,JINHUI SHIPP TRANS
KCC.OL,NO0010833262,XOSL,KLAVENESS COMBINAT
KID.OL,NO0010743545,XOSL,KID
KING.OL,NL00150001S5,MERK,THE KINGFISH COMP
KIT.OL,NO0003079709,XOSL,KITRON
KLDVK.OL,NO0010884794,MERK,KALDVIK
KMAR.OL,NO0013697029,XOSL,KONGSBERG MARITIME
KOA.OL,NO0003033102,XOSL,KONGSBERG AUTOMOT
KOG.OL,NO0013536151,XOSL,KONGSBERG GRUPPEN
KOMPL.OL,NO0011016040,XOSL,KOMPLETT
KRAB.OL,NO0010815103,MERK,KRAFT BANK
LIFE.OL,NO0013355859,XOSL,LIFECARE
LINK.OL,NO0010894231,XOSL,LINK MOBILITY GRP
LOKO.OL,NO0010921299,MERK,LOKOTECH GROUP
LSG.OL,NO0003096208,XOSL,LERØY SEAFOOD GP
LUMI.OL,NO0010927288,MERK,LUMI EDUCATION GR
LYTIX.OL,NO0010405780,MERK,LYTIX BIOPHARMA
MAS.OL,NO0010974983,MERK,MÅSØVAL
MDATA.OL,NO0013750893,MERK,MAGNORA DATA CENTE
MEDI.OL,NO0010159684,XOSL,MEDISTIM
MELG.OL,NO0006001908,XOSL,MELHUS SPAREBANK
MGN.OL,NO0010187032,XOSL,MAGNORA
MING.OL,NO0006390301,XOSL,SPAREBANK 1 SMN
MORG.OL,NO0012483207,XOSL,SPAREBANKEN MØRE
MORLD.OL,NO0013325506,XOSL,MORELD
MOWI.OL,NO0003054108,XOSL,MOWI
MPCC.OL,NO0010791353,XOSL,MPC CONTAINER SHIP
MPCES.OL,NL0015268814,MERK,MPC ENERGY SOLUTIO
MULTI.OL,NO0010734338,XOSL,MULTICONSULT
MVW.OL,NO0010976343,MERK,M VEST WATER
NAPA.OL,DK0060520450,XOSL,NAPATECH
NAS.OL,NO0010196140,XOSL,NORWEGIAN AIR SHUT
NAVA.OL,NO0010205966,XOSL,NAVAMEDIC
NBX.OL,NO0010984966,MERK,NORWEGIAN BLOCK EX
NCOD.OL,NO0010892912,MERK,NORCOD
NEL.OL,NO0010081235,XOSL,NEL
NEXT.OL,NO0013740142,XOSL,NEXT BIOMETRICS GP
NHY.OL,NO0005052605,XOSL,NORSK HYDRO
NISB.OL,NO0010733082,MERK,NIDAROS SPAREBANK
NKR.OL,NO0003049405,XOSL,NEKKAR
NOAP.OL,NO0012928805,MERK,NORDIC AQUA PART
NOD.OL,NO0003055501,XOSL,NORDIC SEMICONDUC
NOFIN.OL,NO0013683409,XOAS,NORDIC FINANCIALS
NOHAL.OL,NO0003058109,MERK,NORDIC HALIBUT
NOL.OL,BMG6682J1036,XOSL,NORTHERN OCEAN LTD
NOM.OL,NO0013162693,XOSL,NORDIC MINING
NONG.OL,NO0006000801,XOSL,SPBK1 NORD-NORGE
NORAM.OL,NO0010360019,MERK,NORAM DRILLING
NORBT.OL,NO0010856511,XOSL,NORBIT
NORCO.OL,NO0013052209,XOSL,NORCONSULT
NORDH.OL,NO0011002651,MERK,NORDHEALTH A-AKSJE
NORSE.OL,NO0012885252,XOAS,NORSE ATLANTIC
NORTH.OL,NO0010550056,XOAS,NORTH ENERGY
NOSN.OL,NO0010917339,MERK,NOS NOVA
NRC.OL,NO0003679102,XOSL,NRC GROUP
NSKOG.OL,NO0010861115,XOSL,NORSKE SKOG
NTG.OL,NO0011018434,MERK,NORDIC TECHNOLOGY
NTI.OL,NO0010969108,MERK,NORSK TITANIUM
NYKD.OL,NO0010714785,XOSL,NYKODE THERAPEUTIC
OBSRV.OL,NO0013457952,XOAS,OBSERVE MEDICAL
OCEAN.OL,NO0010914641,MERK,OCEAN GEOLOOP
ODF.OL,NO0003399909,XOSL,ODFJELL SER. A
ODFB.OL,NO0003399917,XOSL,ODFJELL SER. B
ODL.OL,BMG671801022,XOSL,ODFJELL DRILLING
OET.OL,MHY641771016,XOSL,OKEANIS ECO TANKER
OKEA.OL,NO0010816895,XOSL,OKEA
OMC.OL,NO0013759159,MERK,OMC TANKERS
OMDA.OL,NO0010894512,MERK,OMDA
ONCIN.OL,NO0013711713,XOSL,ONCOINVENT
ORK.OL,NO0003733800,XOSL,ORKLA
OSUN.OL,NO0010887565,MERK,OCEAN SUN
OTEC.OL,NO0010040611,XOSL,OTELLO CORPORATION
OTL.OL,BMG6716L1081,XOSL,ODFJELL TECHNOLOGY
OTOVO.OL,NO0013721613,XOSL,OTOVO
PARB.OL,NO0010397581,XOSL,PARETO BANK
PEN.OL,NO0010564701,XOSL,PANORO ENERGY
PEXIP.OL,NO0010840507,XOSL,PEXIP HOLDING
PHO.OL,NO0010000045,XOSL,PHOTOCURE
PLCAN.OL,CY0201461213,MERK,PELICAN AQUA HLDNG
PLGC.OL,CY0201332216,MERK,PELAGIC CREDIT
PLSV.OL,BMG6904D1083,XOSL,PARATUS ENERGY SER
PLT.OL,NO0012535832,XOSL,POLIGHT
PNOR.OL,NO0012942525,XOSL,PETRONOR E&P
POL.OL,NO0010466022,XOSL,POLARIS MEDIA
POLAR.OL,NO0013756361,MERK,POLAR RESOURCES
PPG.OL,NO0010735681,XOAS,PIONEER PROPERTY
PROT.OL,NO0010209331,XOSL,PROTECTOR FORSIKRG
PROXI.OL,NO0010893902,MERK,PROXIMAR SEAFOOD
PRS.OL,NO0010861990,XOSL,PROSAFE
PSE.OL,CY0102630916,XOSL,PETROLIA
PUBLI.OL,SE0028799411,XOSL,PPI PUBLIC PROP
PYRUM.OL,DE000A2G8ZX8,MERK,PYRUM INNOVATIONS
QEC.OL,CA74836K1003,XOSL,QUESTERRE ENERGY
QGAS.OL,CA74836K4072,MERK,QUESTERRE EN PREF
REACH.OL,NO0003117202,XOSL,REACH SUBSEA
REFL.OL,NL0015001BF4,MERK,REFUELS
RING.OL,NO0006390400,XOSL,SPBK1 RINGERIKE
RIVER.OL,MT0001710103,MERK,RIVER TECH
ROGS.OL,NO0006001007,XOSL,ROGALAND SPAREBANK
ROM.OL,BMG763301022,XOAS,ROMREAL
ROMER.OL,NO0010808405,MERK,ROMERIKE SPAREBK
SAGA.OL,NO0010572589,XOSL,SAGA PURE
SALM.OL,NO0010310956,XOSL,SALMAR
SALME.OL,NO0010892094,XOSL,SALMON EVOLUTION
SATS.OL,NO0010863285,XOSL,SATS
SB1NO.OL,NO0010631567,XOSL,SPAREBANK 1 SØR-N
SB68.OL,NO0010887110,MERK,SPARBNK 68 GR NORD
SBNOR.OL,NO0006000900,XOSL,SPAREBANKEN NORGE
SBO.OL,NO0010612450,XOSL,SELVAAG BOLIG
SCANA.OL,NO0003053308,XOSL,SCANA
SCATC.OL,NO0010715139,XOSL,SCATEC
SDSD.OL,CY0101550917,XOSL,S.D. STANDARD ETC
SEA1.OL,KYG812291253,MERK,Sea1 Offshore
SKAND.OL,NO0010931207,MERK,SKANDIA GREENPOWER
SKUE.OL,NO0006001809,XOSL,SKUE SPAREBANK
SMOP.OL,NO0011012502,XOSL,SMARTOPTICS GROUP
SNI.OL,BMG850801025,XOSL,STOLT-NIELSEN
SNM.OL,BMG8080M1001,MERK,SHAMARAN PETROLEUM
SNOR.OL,NO0010691660,XOSL,SPBK 1 NORDMØRE
SNTIA.OL,NO0013573014,XOSL,SENTIA
SOAG.OL,NO0010285562,XOSL,SPBK1 ØSTFOLD AKE
SOFF.OL,NO0003080608,XOSL,SOLSTAD OFFSHORE
SOFTX.OL,NO0010811961,MERK,SOFTOX SOLUTIONS
SOGN.OL,NO0006000603,XOSL,SOGN SPAREBANK
SOMA.OL,NO0013135368,XOSL,SOLSTAD MARITIME
SPOG.OL,NO0006222009,XOSL,SPAREBANKEN ØST
SPOL.OL,NO0010751910,XOSL,SPBK 1 ØSTLANDET
STB.OL,NO0003053605,XOSL,STOREBRAND
STECH.OL,NO0010713571,XOSL,SOILTECH
STRO.OL,NO0010098247,XOSL,STRONGPOINT
STST.OL,NO0012780958,MERK,STAINLESS TANKERS
SUBC.OL,LU0075646355,XOSL,SUBSEA 7
SWON.OL,CH0496451508,XOSL,SOFTWAREONE HOLD
TECH.OL,NO0012916131,XOSL,TECHSTEP
TEKNA.OL,NO0010951577,XOSL,TEKNA HOLDING
TEL.OL,NO0010063308,XOSL,TELENOR
TGS.OL,NO0003078800,XOSL,TGS
TINDE.OL,NO0010759988,MERK,TINDE SPAREBANK
TOM.OL,NO0012470089,XOSL,TOMRA SYSTEMS
TRMED.OL,NO0010597883,XOSL,THOR MEDICAL
TRSB.OL,NO0010788268,XOSL,TRØNDELAG SPBK
VAR.OL,NO0011202772,XOSL,VÅR ENERGI
VEI.OL,NO0005806802,XOSL,VEIDEKKE
VEND.OL,NO0010736879,XOSL,VEND MARKETPLACES
VISTN.OL,NO0010734122,XOSL,VISTIN PHARMA
VOIM.OL,NO0010358484,XOSL,VOIM
VOW.OL,NO0010708068,XOSL,VOW
VTURA.OL,BMG730931091,MERK,VENTURA OFFSHORE
VVL.OL,NO0003025009,XOSL,VOSS VEKSEL OGLAND
WAWI.OL,NO0010571680,XOSL,WALLENIUS WILHELMS
WEST.OL,NO0010768096,MERK,WESTERN BULK CHART
WSTEP.OL,NO0010609662,XOSL,WEBSTEP
WWI.OL,NO0010571698,XOSL,WILH. WILHELMSEN A
WWIB.OL,NO0010576010,XOSL,WILH. WILHELMSEN B
XPLRA.OL,NO0010895782,MERK,XPLORA TECHNOLOGIE
YAR.OL,NO0010208051,XOSL,YARA INTERNATIONAL
ZAL.OL,NO0010708910,XOSL,ZALARIS
ZAP.OL,NO0010713936,XOSL,ZAPTEC
ZENA.OL,CA98936C8584,MERK,ZENITH ENERGY
ZLNA.OL,NO0013524942,XOSL,ZELLUNA
